post_id,tweet_time,t0_bar,ticker,decision,ret_post_10m,car_raw_post_10m,car_trade_post_10m,ret_post_30m,car_raw_post_30m,car_trade_post_30m,ret_post_45m,car_raw_post_45m,car_trade_post_45m,ret_post_60m,car_raw_post_60m,car_trade_post_60m,ret_post_2h,car_raw_post_2h,car_trade_post_2h,ret_post_4h,car_raw_post_4h,car_trade_post_4h,ret_post_6h,car_raw_post_6h,car_trade_post_6h,ret_post_12h,car_raw_post_12h,car_trade_post_12h,ret_post_1d,car_raw_post_1d,car_trade_post_1d,ret_post_2d,car_raw_post_2d,car_trade_post_2d,ret_pre_10m,car_raw_pre_10m,car_trade_pre_10m,ret_pre_30m,car_raw_pre_30m,car_trade_pre_30m,ret_pre_45m,car_raw_pre_45m,car_trade_pre_45m,ret_pre_60m,car_raw_pre_60m,car_trade_pre_60m,ret_pre_2h,car_raw_pre_2h,car_trade_pre_2h,ret_pre_4h,car_raw_pre_4h,car_trade_pre_4h,ret_pre_6h,car_raw_pre_6h,car_trade_pre_6h,ret_pre_12h,car_raw_pre_12h,car_trade_pre_12h,ret_pre_1d,car_raw_pre_1d,car_trade_pre_1d,ret_pre_2d,car_raw_pre_2d,car_trade_pre_2d,content,,,,
1.15E+17,2025-10-25 20:30:11-04:00,2025-10-27 09:30:00-04:00,XLI,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001189252,-0.004854062,0.004854062,,,,,,,,,,,,,,,,,,,,,,0.004374284,-0.004068191,0.004068191,0.004374284,-0.004068191,0.004068191,0.005153057,-0.011629568,0.011629568,"Canada was caught, red handed, putting up a fraudulent advertisement on Ronald Reaganâ€™s Speech on Tariffs. The Reagan Foundation said that they, â€œcreated an ad campaign using selective audio and video of President Ronald Reagan. The ad misrepresents the Presidential Radio Address,â€  and â€œdid not seek nor receive permission to use and edit the remarks. The Ronald Reagan Presidential Foundation and Institute is reviewing its legal options in this matter.â€  The sole purpose of this FRAUD was Canadaâ€™s hope that the United States Supreme Court will come to their â€œrescueâ€  on Tariffs that they have used for years to hurt the United States. Now the United States is able to defend itself against high and overbearing Canadian Tariffs (and those from the rest of the World as well!). Ronald Reagan LOVED Tariffs for purposes of National Security and the Economy, but Canada said he didnâ€™t! Their Advertisement was to be taken down, IMMEDIATELY, but they let it run last night during the World Series, knowing that it was a FRAUD. Because of their serious misrepresentation of the facts, and hostile act, I am increasing the Tariff on Canada by 10% over and above what they are paying now. Thank you for your attention to this matter!",,,,
1.15E+17,2025-10-24 11:01:31-04:00,2025-10-24 11:02:00-04:00,XLY,1,-0.000188715,-0.000831559,-0.000831559,0.002033927,-0.00039706,-0.00039706,0.000314525,-0.001591842,-0.001591842,0.000608081,-0.001468233,-0.001468233,0.00025162,-0.001691692,-0.001691692,-0.001321004,-0.003774158,-0.003774158,,,,0.006185653,-0.00292993,-0.00292993,0.006185653,-0.00292993,-0.00292993,0.006185653,-0.00292993,-0.00292993,-0.000482039,0.000300584,0.000300584,-0.000146757,-0.000523739,-0.000523739,-0.002989505,-0.001727578,-0.001727578,-0.002655904,-0.001504544,-0.001504544,,,,,,,,,,0.000430035,-0.007167747,-0.007167747,0.011259542,0.00110847,0.00110847,0.001995966,-0.00764266,-0.00764266,Ford and General Motors UP BIG on Tariffs placed on Big and Midsized Trucks coming from other countries. Thank you President Trump!,,,,
1.15E+17,2025-10-22 16:55:40-04:00,2025-10-23 09:30:00-04:00,XLY,1,,,,,,,,,,,,,,,,,,,,,,,,,0.018631955,0.006947119,0.006947119,0.020631274,-0.001221988,-0.001221988,,,,,,,,,,,,,,,,,,,,,,-0.017234352,-0.012757629,-0.012757629,-0.017234352,-0.012757629,-0.012757629,-0.005183978,-0.000677595,-0.000677595,"Mary Barra of General Motors, and Bill Ford of Ford Motor Company, just called to thank me for putting Tariffs on Mid Size and Large Size Trucks. Their Stock has gone through the roof! They told me that, without Tariffs, it would be a very hard, long â€œslogâ€  for Truck and Car Manufacturers in the United States. I told them, itâ€™s very simple, this is a National Security matter. With the Tariffs, we have a strong and powerful Economy and Country. Without them, we have the exact opposite!",,,,
1.15E+17,2025-10-06 17:44:55-04:00,2025-10-07 09:30:00-04:00,XLI,1,,,,,,,,,,,,,,,,,,,,,,,,,-0.005487079,-0.002074021,-0.002074021,0.002885678,0.001305558,0.001305558,,,,,,,,,,,,,,,,,,,,,,0.006152252,0.001166563,0.001166563,0.006152252,0.001166563,0.001166563,0.006152252,0.001166563,0.001166563,"Beginning November 1st, 2025, all Medium and Heavy Duty Trucks coming into the United States from other Countries will be Tariffed at the Rate of 25%. Thank you for your attention to this matter!",,,,
1.15E+17,2025-10-05 23:19:00-04:00,2025-10-06 09:30:00-04:00,XLRE,0,,,,,,,,,,,,,,,,,,,,,,-0.005465779,-0.005080999,0,-0.010931559,-0.01247937,0,-0.017229087,-0.015358557,0,,,,,,,,,,,,,,,,,,,,,,0.000118835,-0.00331373,0,0.000118835,-0.00331373,0,0.000118835,-0.00331373,0,"Before I became President, â€œOPECâ€  kept Oil prices high. It wasnâ€™t right for them to do that but, in a different form, is being done again â€” This time by the Big Homebuilders of our Nation. Theyâ€™re my friends, and theyâ€™re very important to the SUCCESS of our Country, but now, they can get Financing, and they have to start building Homes. Theyâ€™re sitting on 2 Million empty lots, A RECORD. Iâ€™m asking Fannie Mae and Freddie Mac to get Big Homebuilders going and, by so doing, help restore the American Dream!",,,,
1.15E+17,2025-10-03 16:42:58-04:00,2025-10-06 09:30:00-04:00,XLI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005253259,0.002005624,0.002005624,0.005253259,0.002005624,0.002005624,0.007851488,0.003701045,0.003701045,I am pleased to advise that I reversed the cuts made to Homeland Security and Counterterrorism for New York City and State. It was my Honor to do so. Thank you for your attention to this matter! President DJT,,,,
1.15E+17,2025-10-01 17:53:55-04:00,2025-10-02 09:30:00-04:00,XLB,-1,,,,,,,,,,,,,,,,,,,,,,,,,0.013089596,0.012649245,-0.012649245,0.014406078,0.012229202,-0.012229202,,,,,,,,,,,,,,,,,,,,,,-0.01140642,-0.017085935,0.017085935,-0.01140642,-0.017085935,0.017085935,-0.006112264,-0.015605649,0.015605649,"The Soybean Farmers of our Country are being hurt because China is, for â€œnegotiatingâ€  reasons only, not buying. Weâ€™ve made so much money on Tariffs, that we are going to take a small portion of that money, and help our Farmers. I WILL NEVER LET OUR FARMERS DOWN! Sleepy Joe Biden didnâ€™t enforce our Agreement with China, where they were going to purchase Billions of Dollars of our Farm Product, but Soybeans, in particular. Itâ€™s all going to work out very well. I LOVE OUR PATRIOTS, AND EVERY FARMER IS EXACTLY THAT! Iâ€™ll be meeting with President Xi, of China, in four weeks, and Soybeans will be a major topic of discussion. MAKE SOYBEANS, AND OTHER ROW CROPS, GREAT AGAIN!",,,,
1.15E+17,2025-09-30 20:29:13-04:00,2025-10-01 09:30:00-04:00,XLV,-1,,,,,,,,,,,,,,,,,,,,,,,,,0.015714744,0.005639168,-0.005639168,0.025721523,0.015201158,-0.015201158,,,,,,,,,,,,,,,,,,,,,,0.03138568,0.031962064,-0.031962064,0.03138568,0.031962064,-0.031962064,0.034239752,0.031984352,-0.031984352,â€œPresident Donald J. Trump Announces First Deal to Bring Most-Favored-Nation Pricing to American Patientsâ€  https://www.whitehouse.gov/fact-sheets/2025/09/fact-sheet-president-donald-j-trump-announces-first-deal-to-bring-most-favored-nation-pricing-to-american-patients/,,,,
1.15E+17,2025-09-29 13:04:21-04:00,2025-09-29 13:05:00-04:00,XLI,1,-0.000556228,-0.00032985,-0.00032985,-0.001292412,-0.000945299,-0.000945299,6.54E-05,1.30E-06,1.30E-06,0.000294474,-0.000528034,-0.000528034,0.000687105,-3.35E-06,-3.35E-06,,,,,,,0.00140693,0.000814573,0.000814573,0.002879298,0.002679331,0.002679331,0.003500965,-0.003633726,-0.003633726,-0.000261686,0.000164478,0.000164478,-0.000686634,0.000854135,0.000854135,-0.001470204,-0.000200327,-0.000200327,-0.001176509,-0.000569429,-0.000569429,-0.003391267,-0.000408225,-0.000408225,,,,,,,0.001671474,0.000368101,0.000368101,0.001671474,0.000368101,0.000368101,0.001671474,0.000368101,0.000368101,"In order to make North Carolina, which has completely lost its furniture business to China, and other Countries, GREAT again, I will be imposing substantial Tariffs on any Country that does not make its furniture in the United States. Details to follow!!! President DJT",,,,
1.15E+17,2025-09-29 12:56:03-04:00,2025-09-29 12:57:00-04:00,XLC,1,-0.000589722,-0.000242762,-0.000242762,-0.001200505,-0.000770576,-0.000770576,-0.00126369,-0.000879017,-0.000879017,-0.00056866,-0.000583746,-0.000583746,0.000210615,-0.000396566,-0.000396566,,,,,,,-0.003032856,-0.003183708,-0.003183708,-0.003201348,-0.003382371,-0.003382371,-0.0165754,-0.02225499,-0.02225499,-0.000463138,-8.61E-05,-8.61E-05,-0.001094,-5.42E-05,-5.42E-05,-0.001115015,-4.38E-05,-4.38E-05,-0.000505221,-0.000296585,-0.000296585,-0.002227546,3.01E-05,3.01E-05,,,,,,,0.004655099,0.002909714,0.002909714,0.004655099,0.002909714,0.002909714,0.004655099,0.002909714,0.002909714,"Our movie making business has been stolen from the United States of America, by other Countries, just like stealing â€œcandy from a baby.â€  California, with its weak and incompetent Governor, has been particularly hard hit! Therefore, in order to solve this long time, never ending problem, I will be imposing a 100% Tariff on any and all movies that are made outside of the United States. Thank you for your attention to this matter. MAKE AMERICA GREAT AGAIN! President DJT",,,,
1.15E+17,2025-09-26 21:38:31-04:00,2025-09-29 09:30:00-04:00,XLK,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007617766,0.002264062,0,0.010037506,0.000202063,0,0.008196721,0.003343601,0,"Corrupt and Totally Trump Deranged Lisa Monaco (A purported pawn of Legal Lightweight Andrew Weissmann), was a senior National Security aide under Barack Hussein Obama, and a Lawfare and Weaponization obsessed Deputy Attorney General under Crooked Joe Biden and Lisaâ€™s Puppet â€œBossâ€  Attorney General Merrick Garland, who were all the architects of the worst ever Deep State Conspiracies against our Country (RUSSIA, RUSSIA, RUSSIA, the January 6th Hoax, the Illegal Raid on Mar-a-Lago, the Biden â€œAutopenâ€  Scandal, the Documents Witch Hunt, and more!). Monaco has been shockingly hired as the President of Global Affairs for Microsoft, in a very senior role with access to Highly Sensitive Information. Monacoâ€™s having that kind of access is unacceptable, and cannot be allowed to stand. She is a menace to U.S. National Security, especially given the major contracts that Microsoft has with the United States Government. Because of Monacoâ€™s many wrongful acts, the U.S. Government recently stripped her of all Security Clearances, took away all of her access to National Security Intelligence, and banned her from all Federal Properties. It is my opinion that Microsoft should immediately terminate the employment of Lisa Monaco. Thank you for your attention to this matter! President DJT",,,,
1.15E+17,2025-09-25 23:24:13-04:00,2025-09-26 09:30:00-04:00,XLV,-1,,,,,,,,,,,,,,,,,,,,,,-0.001326407,-0.001940914,0.001940914,0.002208622,-0.005726862,0.005726862,0.002208622,-0.005726862,0.005726862,,,,,,,,,,,,,,,,,,,,,,0.00835464,0.006401099,-0.006401099,-0.009592942,-0.006534845,0.006534845,-0.013642947,-0.007400533,0.007400533,"Starting October 1st, 2025, we will be imposing a 100% Tariff on any branded or patented Pharmaceutical Product, unless a Company IS BUILDING their Pharmaceutical Manufacturing Plant in America. â€œIS BUILDINGâ€  will be defined as, â€œbreaking groundâ€  and/or â€œunder construction.â€  There will, therefore, be no Tariff on these Pharmaceutical Products if construction has started. Thank you for your attention to this matter!",,,,
1.15E+17,2025-09-25 22:51:16-04:00,2025-09-26 09:30:00-04:00,XLI,1,,,,,,,,,,,,,,,,,,,,,,0.000460027,0.001142812,0.001142812,0.011106365,0.00317088,0.00317088,0.011106365,0.00317088,0.00317088,,,,,,,,,,,,,,,,,,,,,,0.004389439,0.003394618,0.003394618,-0.00047623,0.002581867,0.002581867,-0.005652486,0.000589927,0.000589927,"In order to protect our Great Heavy Truck Manufacturers from unfair outside competition, I will be imposing, as of October 1st, 2025, a 25% Tariff on all â€œHeavy (Big!) Trucksâ€  made in other parts of the World. Therefore, our Great Large Truck Company Manufacturers, such as Peterbilt, Kenworth, Freightliner, Mack Trucks, and others, will be protected from the onslaught of outside interruptions. We need our Truckers to be financially healthy and strong, for many reasons, but above all else, for National Security purposes!",,,,
1.15E+17,2025-09-23 18:55:22-04:00,2025-09-24 09:30:00-04:00,XLI,1,,,,,,,,,,,,,,,,,,,,,,,,,-0.012374785,-0.002230049,-0.002230049,-0.008072402,-0.000434676,-0.000434676,,,,,,,,,,,,,,,,,,,,,,0.002701702,0.006724526,0.006724526,0.002701702,0.006724526,0.006724526,0.002374107,0.001511343,0.001511343,"After getting to know and fully understand the Ukraine/Russia Military and Economic situation and, after seeing the Economic trouble it is causing Russia, I think Ukraine, with the support of the European Union, is in a position to fight and WIN all of Ukraine back in its original form. With time, patience, and the financial support of Europe and, in particular, NATO, the original Borders from where this War started, is very much an option. Why not? Russia has been fighting aimlessly for three and a half years a War that should have taken a Real Military Power less than a week to win. This is not distinguishing Russia. In fact, it is very much making them look like â€œa paper tiger.â€  When the people living in Moscow, and all of the Great Cities, Towns, and Districts all throughout Russia, find out what is really going on with this War, the fact that itâ€™s almost impossible for them to get Gasoline through the long lines that are being formed, and all of the other things that are taking place in their War Economy, where most of their money is being spent on fighting Ukraine, which has Great Spirit, and only getting better, Ukraine would be able to take back their Country in its original form and, who knows, maybe even go further than that! Putin and Russia are in BIG Economic trouble, and this is the time for Ukraine to act. In any event, I wish both Countries well. We will continue to supply weapons to NATO for NATO to do what they want with them. Good luck to all!Â DONALD J. TRUMP, PRESIDENT OF THE UNITED STATES OF AMERICA",,,,
1.15E+17,2025-09-22 22:29:49-04:00,2025-09-23 09:30:00-04:00,XLI,1,,,,,,,,,,,,,,,,,,,,,,0.003326159,0.003509891,0.003509891,0.000478271,0.004370387,0.004370387,-0.011902433,0.002094935,0.002094935,,,,,,,,,,,,,,,,,,,,,,0.010045782,0.006066653,0.006066653,0.001894929,-0.002878529,-0.002878529,0.001894929,-0.002878529,-0.002878529,"Earlier this month I spoke with the Highly Respected President of Uzbekistan, Shavkat Mirziyoyev. Today I want to congratulate President Mirziyoyev on signing a GREAT Deal with Boeing! Worth over $8 Billion Dollars, Uzbekistan Airways is purchasing 22,787 Dreamliners. This will create over 35,000 jobs in the United States. President Mirziyoyev is a man of his word, and we will continue to work together on many more items! Thank you for your attention to this matter.",,,,
1.15E+17,2025-09-19 17:58:22-04:00,2025-09-22 09:30:00-04:00,XLI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004419419,-0.004476034,-0.004476034,-0.004419419,-0.004476034,-0.004476034,0.006153643,0.001413659,0.001413659,"I am pleased to host President Recep Tayyip ErdoÄŸan, of Turkey, at the White House on September 25th. We are working on many Trade and Military Deals with the President, including the large scale purchase of Boeing aircraft, a major F-16 Deal, and a continuation of the F-35 talks, which we expect to conclude positively. President ErdoÄŸan and I have always had a very good relationship. I look forward to seeing him on the 25th!",,,,
1.15E+17,2025-09-19 15:23:59-04:00,2025-09-19 15:24:00-04:00,XLC,1,-0.000355961,-0.000717739,-0.000717739,0.000544411,-0.000797183,-0.000797183,,,,,,,,,,,,,,,,-0.005485992,-0.004008731,-0.004008731,-0.005485992,-0.004008731,-0.004008731,-0.005485992,-0.004008731,-0.004008731,0.000943139,0.000792376,0.000792376,0.002077257,0.000839652,0.000839652,0.002897942,0.001871852,0.001871852,0.003445812,0.002261095,0.002261095,0.003382566,0.001978708,0.001978708,0.00441659,0.000550269,0.000550269,,,,0.004135012,0.002598867,0.002598867,0.00428986,0.003324187,0.003324187,0.003572329,-0.001838237,-0.001838237,"I just completed a very productive call with President Xi of China. We made progress on many very important issues including Trade, Fentanyl, the need to bring the War between Russia and Ukraine to an end, and the approval of the TikTok Deal. I also agreed with President Xi that we would meet at the APEC Summit in South Korea, that I would go to China in the early part of next year, and that President Xi would, likewise, come to the United States at an appropriate time. The call was a very good one, we will be speaking again by phone, appreciate the TikTok approval, and both look forward to meeting at APEC!",,,,
1.15E+17,2025-09-16 15:09:34-04:00,2025-09-16 15:10:00-04:00,XLC,0,0.00071668,0.000648545,0,-2.11E-05,0.000690546,0,0.000463734,0.00040317,0,,,,,,,,,,,,,0.001812778,0.001914979,0,0.002044645,0.003604164,0,0.003414768,-0.000900406,0,-6.32E-05,0.000133561,0,0.00103393,0.000685566,0,0.000907211,0.000498238,0,0.000295191,2.76E-05,0,0.003023384,0.002659868,0,0.002768971,0.002006294,0,,,,-0.003382211,-0.002822309,0,-0.000379275,-0.001197556,0,0.010371853,0.005826664,0,â€œTrumpâ€™s Man With a Plan in Hollywood Opens Upâ€  https://www.hollywoodreporter.com/business/business-news/trump-steven-paul-jon-voight-hollywood-incentives-1236367149/,,,,
