post_id,tweet_time,t0_bar,ticker,decision,importance_score_1_to_10,confidence_score_1_to_10,category,relevance_classification,content,ret_post_10m,car_raw_post_10m,car_trade_post_10m,ret_post_30m,car_raw_post_30m,car_trade_post_30m,ret_post_45m,car_raw_post_45m,car_trade_post_45m,ret_post_60m,car_raw_post_60m,car_trade_post_60m,ret_post_2h,car_raw_post_2h,car_trade_post_2h,ret_post_4h,car_raw_post_4h,car_trade_post_4h,ret_post_6h,car_raw_post_6h,car_trade_post_6h,ret_post_12h,car_raw_post_12h,car_trade_post_12h,ret_post_1d,car_raw_post_1d,car_trade_post_1d,ret_post_2d,car_raw_post_2d,car_trade_post_2d,ret_pre_10m,car_raw_pre_10m,car_trade_pre_10m,ret_pre_30m,car_raw_pre_30m,car_trade_pre_30m,ret_pre_45m,car_raw_pre_45m,car_trade_pre_45m,ret_pre_60m,car_raw_pre_60m,car_trade_pre_60m,ret_pre_2h,car_raw_pre_2h,car_trade_pre_2h,ret_pre_4h,car_raw_pre_4h,car_trade_pre_4h,ret_pre_6h,car_raw_pre_6h,car_trade_pre_6h,ret_pre_12h,car_raw_pre_12h,car_trade_pre_12h,ret_pre_1d,car_raw_pre_1d,car_trade_pre_1d,ret_pre_2d,car_raw_pre_2d,car_trade_pre_2d
1.15e+17,2025-10-25 20:30:11-04:00,2025-10-27 09:30:00-04:00,XLI,-1.0,9,8,Trade Policy,Relevant,"Canada was caught, red handed, putting up a fraudulent advertisement on Ronald Reaganâ€™s Speech on Tariffs. The Reagan Foundation said that they, â€œcreated an ad campaign using selective audio and video of President Ronald Reagan. The ad misrepresents the Presidential Radio Address,â€  and â€œdid not seek nor receive permission to use and edit the remarks. The Ronald Reagan Presidential Foundation and Institute is reviewing its legal options in this matter.â€  The sole purpose of this FRAUD was Canadaâ€™s hope that the United States Supreme Court will come to their â€œrescueâ€  on Tariffs that they have used for years to hurt the United States. Now the United States is able to defend itself against high and overbearing Canadian Tariffs (and those from the rest of the World as well!). Ronald Reagan LOVED Tariffs for purposes of National Security and the Economy, but Canada said he didnâ€™t! Their Advertisement was to be taken down, IMMEDIATELY, but they let it run last night during the World Series, knowing that it was a FRAUD. Because of their serious misrepresentation of the facts, and hostile act, I am increasing the Tariff on Canada by 10% over and above what they are paying now. Thank you for your attention to this matter!",,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0011892517356646426,-0.004854061933305287,0.004854061933305287,,,,,,,,,,,,,,,,,,,,,,0.0043742837312157334,-0.00406819052908336,0.00406819052908336,0.0043742837312157334,-0.00406819052908336,0.00406819052908336,0.005153057103626679,-0.01162956788505043,0.01162956788505043
1.15e+17,2025-10-24 11:01:31-04:00,2025-10-24 11:02:00-04:00,XLY,1.0,8,8,Automotive Sector / Trade Policy,Relevant,Ford and General Motors UP BIG on Tariffs placed on Big and Midsized Trucks coming from other countries. Thank you President Trump!,-0.00018871485185889547,-0.0008315593278298561,-0.0008315593278298561,0.002033926736700886,-0.00039705984484439405,-0.00039705984484439405,0.0003145247530980111,-0.0015918416239193434,-0.0015918416239193434,0.0006080811893227622,-0.0014682325778938576,-0.0014682325778938576,0.0002516198024784533,-0.0016916916593647802,-0.0016916916593647802,-0.0013210039630120463,-0.003774157595452854,-0.003774157595452854,,,,0.006185653477595254,-0.0029299304517855784,-0.0029299304517855784,0.006185653477595254,-0.0029299304517855784,-0.0029299304517855784,0.006185653477595254,-0.0029299304517855784,-0.0029299304517855784,-0.00048203881460362474,0.0003005840054965958,0.0003005840054965958,-0.00014675667742880538,-0.0005237386044717462,-0.0005237386044717462,-0.0029895053727473364,-0.0017275779446439543,-0.0017275779446439543,-0.0026559036346145426,-0.0015045441447552044,-0.0015045441447552044,,,,,,,,,,0.0004300353468078555,-0.0071677474854043854,-0.0071677474854043854,0.01125954198473278,0.0011084701509715966,0.0011084701509715966,0.0019959660475670216,-0.007642660075198426,-0.007642660075198426
1.15e+17,2025-10-22 16:55:40-04:00,2025-10-23 09:30:00-04:00,XLY,1.0,8,7,Trade Policy Impact on Automotive Sector,Relevant,"Mary Barra of General Motors, and Bill Ford of Ford Motor Company, just called to thank me for putting Tariffs on Mid Size and Large Size Trucks. Their Stock has gone through the roof! They told me that, without Tariffs, it would be a very hard, long â€œslogâ€  for Truck and Car Manufacturers in the United States. I told them, itâ€™s very simple, this is a National Security matter. With the Tariffs, we have a strong and powerful Economy and Country. Without them, we have the exact opposite!",,,,,,,,,,,,,,,,,,,,,,,,,0.018631955079122076,0.006947118928708251,0.006947118928708251,0.02063127445975832,-0.0012219879415067414,-0.0012219879415067414,,,,,,,,,,,,,,,,,,,,,,-0.017234351647662405,-0.012757629115073943,-0.012757629115073943,-0.017234351647662405,-0.012757629115073943,-0.012757629115073943,-0.005183978333086481,-0.0006775949106186951,-0.0006775949106186951
1.15e+17,2025-10-06 17:44:55-04:00,2025-10-07 09:30:00-04:00,XLI,1.0,8,8,Trade Policy / Industrials,Relevant,"Beginning November 1st, 2025, all Medium and Heavy Duty Trucks coming into the United States from other Countries will be Tariffed at the Rate of 25%. Thank you for your attention to this matter!",,,,,,,,,,,,,,,,,,,,,,,,,-0.005487078814404911,-0.0020740207069046557,-0.0020740207069046557,0.002885677812463072,0.0013055583182499664,0.0013055583182499664,,,,,,,,,,,,,,,,,,,,,,0.006152252048052365,0.0011665627076877794,0.0011665627076877794,0.006152252048052365,0.0011665627076877794,0.0011665627076877794,0.006152252048052365,0.0011665627076877794,0.0011665627076877794
1.15e+17,2025-10-05 23:19:00-04:00,2025-10-06 09:30:00-04:00,XLRE,0.0,8,7,"Real Estate, Financials",Relevant,"Before I became President, â€œOPECâ€  kept Oil prices high. It wasnâ€™t right for them to do that but, in a different form, is being done again â€” This time by the Big Homebuilders of our Nation. Theyâ€™re my friends, and theyâ€™re very important to the SUCCESS of our Country, but now, they can get Financing, and they have to start building Homes. Theyâ€™re sitting on 2 Million empty lots, A RECORD. Iâ€™m asking Fannie Mae and Freddie Mac to get Big Homebuilders going and, by so doing, help restore the American Dream!",,,,,,,,,,,,,,,,,,,,,,-0.005465779467680565,-0.005080998904312128,-0.0,-0.01093155893536124,-0.012479369782201322,-0.0,-0.017229087452471537,-0.015358557423451602,-0.0,,,,,,,,,,,,,,,,,,,,,,0.00011883541295287792,-0.00331373011840963,-0.0,0.00011883541295287792,-0.00331373011840963,-0.0,0.00011883541295287792,-0.00331373011840963,-0.0
1.15e+17,2025-10-03 16:42:58-04:00,2025-10-06 09:30:00-04:00,XLI,1.0,7,7,Government Spending / Defense,Relevant,I am pleased to advise that I reversed the cuts made to Homeland Security and Counterterrorism for New York City and State. It was my Honor to do so. Thank you for your attention to this matter! President DJT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005253258966210428,0.0020056243350683456,0.0020056243350683456,0.005253258966210428,0.0020056243350683456,0.0020056243350683456,0.007851488206511936,0.0037010452433199337,0.0037010452433199337
1.15e+17,2025-10-01 17:53:55-04:00,2025-10-02 09:30:00-04:00,XLB,-1.0,9,8,Trade Policy / Agriculture / Commodities,Relevant,"The Soybean Farmers of our Country are being hurt because China is, for â€œnegotiatingâ€  reasons only, not buying. Weâ€™ve made so much money on Tariffs, that we are going to take a small portion of that money, and help our Farmers. I WILL NEVER LET OUR FARMERS DOWN! Sleepy Joe Biden didnâ€™t enforce our Agreement with China, where they were going to purchase Billions of Dollars of our Farm Product, but Soybeans, in particular. Itâ€™s all going to work out very well. I LOVE OUR PATRIOTS, AND EVERY FARMER IS EXACTLY THAT! Iâ€™ll be meeting with President Xi, of China, in four weeks, and Soybeans will be a major topic of discussion. MAKE SOYBEANS, AND OTHER ROW CROPS, GREAT AGAIN!",,,,,,,,,,,,,,,,,,,,,,,,,0.013089596027984651,0.012649244941287607,-0.012649244941287607,0.014406078387120935,0.012229201546104962,-0.012229201546104962,,,,,,,,,,,,,,,,,,,,,,-0.011406419945896085,-0.017085935160491728,0.017085935160491728,-0.011406419945896085,-0.017085935160491728,0.017085935160491728,-0.006112263780631233,-0.0156056485490228,0.0156056485490228
1.15e+17,2025-09-30 20:29:13-04:00,2025-10-01 09:30:00-04:00,XLV,-1.0,8,8,Healthcare Policy,Relevant,â€œPresident Donald J. Trump Announces First Deal to Bring Most-Favored-Nation Pricing to American Patientsâ€  https://www.whitehouse.gov/fact-sheets/2025/09/fact-sheet-president-donald-j-trump-announces-first-deal-to-bring-most-favored-nation-pricing-to-american-patients/,,,,,,,,,,,,,,,,,,,,,,,,,0.015714744390139535,0.005639168144827789,-0.005639168144827789,0.025721522599978508,0.01520115847702086,-0.01520115847702086,,,,,,,,,,,,,,,,,,,,,,0.03138567959378924,0.03196206366901311,-0.03196206366901311,0.03138567959378924,0.03196206366901311,-0.03196206366901311,0.03423975205696794,0.03198435156281998,-0.03198435156281998
1.15e+17,2025-09-29 13:04:21-04:00,2025-09-29 13:05:00-04:00,XLI,1.0,7,8,Trade Policy / Manufacturing,Relevant,"In order to make North Carolina, which has completely lost its furniture business to China, and other Countries, GREAT again, I will be imposing substantial Tariffs on any Country that does not make its furniture in the United States. Details to follow!!! President DJT",-0.0005562281189672724,-0.00032984975772010205,-0.00032984975772010205,-0.0012924123940711851,-0.0009452989068257089,-0.0009452989068257089,6.543860223140463e-05,1.298066544919152e-06,1.298066544919152e-06,0.0002944737100416539,-0.0005280343358222694,-0.0005280343358222694,0.0006871053234303037,-3.348678373260583e-06,-3.348678373260583e-06,,,,,,,0.0014069299479764208,0.0008145732360467228,0.0008145732360467228,0.002879298498184024,0.0026793309457491254,0.0026793309457491254,0.0035009652193831453,-0.003633726132586057,-0.003633726132586057,-0.00026168591148489906,0.00016447830882304615,0.00016447830882304615,-0.0006866335338738816,0.0008541346652730653,0.0008541346652730653,-0.0014702038682699037,-0.00020032671098602073,-0.00020032671098602073,-0.0011765090362431119,-0.0005694292033598947,-0.0005694292033598947,-0.003391267486223093,-0.00040822530984374605,-0.00040822530984374605,,,,,,,0.0016714735186156293,0.0003681013737562022,0.0003681013737562022,0.0016714735186156293,0.0003681013737562022,0.0003681013737562022,0.0016714735186156293,0.0003681013737562022,0.0003681013737562022
1.15e+17,2025-09-29 12:56:03-04:00,2025-09-29 12:57:00-04:00,XLC,1.0,9,8,Trade Policy / Entertainment Sector,Relevant,"Our movie making business has been stolen from the United States of America, by other Countries, just like stealing â€œcandy from a baby.â€  California, with its weak and incompetent Governor, has been particularly hard hit! Therefore, in order to solve this long time, never ending problem, I will be imposing a 100% Tariff on any and all movies that are made outside of the United States. Thank you for your attention to this matter. MAKE AMERICA GREAT AGAIN! President DJT",-0.0005897219882056159,-0.00024276166236458785,-0.00024276166236458785,-0.0012005054759898215,-0.0007705763765781803,-0.0007705763765781803,-0.0012636899747262564,-0.0008790165699894548,-0.0008790165699894548,-0.0005686604886269153,-0.0005837457201852692,-0.0005837457201852692,0.0002106149957876724,-0.0003965655744342378,-0.0003965655744342378,,,,,,,-0.0030328559393428822,-0.0031837082549259765,-0.0031837082549259765,-0.0032013479359731534,-0.0033823707146727333,-0.0033823707146727333,-0.016575400168492016,-0.022254989850193696,-0.022254989850193696,-0.0004631383941727796,-8.614977922893896e-05,-8.614977922893896e-05,-0.0010939998316923383,-5.4201160826217176e-05,-5.4201160826217176e-05,-0.0011150148318009867,-4.382981425632426e-05,-4.382981425632426e-05,-0.0005052206130010672,-0.00029658511429941914,-0.00029658511429941914,-0.002227545916866358,3.013018186948102e-05,3.013018186948102e-05,,,,,,,0.004655099449851763,0.002909714142822706,0.002909714142822706,0.004655099449851763,0.002909714142822706,0.002909714142822706,0.004655099449851763,0.002909714142822706,0.002909714142822706
